# GTEx synthetic data; source: generate_synthetic_data.py
gene,tissue,median_TPM
GENE0000,Brain,4.955926716704167
GENE0000,Heart,4.032216034694063
GENE0000,Liver,7.480787897687693
GENE0000,Lung,4.874025045207988
GENE0000,Kidney,2.91965220547164
GENE0001,Brain,5.985117935094091
GENE0001,Heart,12.720311366414766
GENE0001,Liver,9.560736563660535
GENE0001,Lung,2.55234312893061
GENE0001,Kidney,1.628505663002984
GENE0002,Brain,2.7220368173155673
GENE0002,Heart,4.632333716156138
GENE0002,Liver,0.6976591496929042
GENE0002,Lung,3.762059959140232
GENE0002,Kidney,1.6541234684239936
GENE0003,Brain,2.494743993784226
GENE0003,Heart,2.8996580426557603
GENE0003,Liver,3.479747991416861
GENE0003,Lung,6.229552056053262
GENE0003,Kidney,10.319246001913067
GENE0004,Brain,4.043749152339909
GENE0004,Heart,13.37210440740432
GENE0004,Liver,2.632263865297514
GENE0004,Lung,5.937024346415673
GENE0004,Kidney,9.23292726761479
GENE0005,Brain,4.831755398639339
GENE0005,Heart,2.4724278436184077
GENE0005,Liver,2.1438852042757666
GENE0005,Lung,3.107502470660496
GENE0005,Kidney,5.344970892807575
GENE0006,Brain,1.998317253524385
GENE0006,Heart,3.7911126079003448
GENE0006,Liver,3.9456748017115846
GENE0006,Lung,6.907974492009885
GENE0006,Kidney,5.321351423165948
GENE0007,Brain,5.955398786501037
GENE0007,Heart,2.656307797374197
GENE0007,Liver,4.0402601887119385
GENE0007,Lung,8.391173470288136
GENE0007,Kidney,14.801742586596836
GENE0008,Brain,1.636807297036766
GENE0008,Heart,15.046403910073742
GENE0008,Liver,13.1536638426009
GENE0008,Lung,8.373308779644919
GENE0008,Kidney,5.537618331504798
GENE0009,Brain,3.4863723291200355
GENE0009,Heart,14.38831684158175
GENE0009,Liver,21.503305191593885
GENE0009,Lung,18.940602455657743
GENE0009,Kidney,12.833808934723269
GENE0010,Brain,5.96497180337615
GENE0010,Heart,1.7046249130273106
GENE0010,Liver,4.465747857141979
GENE0010,Lung,7.577474373781311
GENE0010,Kidney,1.5988919034964795
GENE0011,Brain,6.147820619157951
GENE0011,Heart,6.32108553867451
GENE0011,Liver,7.821170152013836
GENE0011,Lung,1.7379489031184563
GENE0011,Kidney,2.6396278527881485
GENE0012,Brain,3.1608842116939204
GENE0012,Heart,1.7579677840991026
GENE0012,Liver,18.020217133729133
GENE0012,Lung,3.0140099975810934
GENE0012,Kidney,5.830925313112721
GENE0013,Brain,3.6442185890650367
GENE0013,Heart,15.907302858251992
