# Synthetic tumor expression medians inspired by TCGA BRCA/LUAD/COAD (demo only).
gene,tumor,median_TPM
EPCAM,BRCA,5.335
EPCAM,LUAD,3.624
EPCAM,COAD,4.751
MSLN,BRCA,3.811
MSLN,LUAD,2.225
MSLN,COAD,4.69
CD276,BRCA,3.916
CD276,LUAD,4.229
CD276,COAD,2.509
ERBB2,BRCA,13.311
ERBB2,LUAD,7.574
ERBB2,COAD,7.057
EGFR,BRCA,8.667
EGFR,LUAD,16.367
EGFR,COAD,9.809
CEACAM5,BRCA,3.158
CEACAM5,LUAD,3.899
CEACAM5,COAD,9.238
GPC3,BRCA,1.087
GPC3,LUAD,1.335
GPC3,COAD,4.099
MUC16,BRCA,4.912
MUC16,LUAD,4.33
MUC16,COAD,4.567
CD274,BRCA,2.521
CD274,LUAD,4.328
CD274,COAD,3.104
ITGA6,BRCA,3.443
ITGA6,LUAD,6.103
ITGA6,COAD,6.253
ITGB1,BRCA,3.437
ITGB1,LUAD,3.249
ITGB1,COAD,3.055
CD44,BRCA,3.147
CD44,LUAD,8.635
CD44,COAD,6.207
CXCL8,BRCA,2.702
CXCL8,LUAD,3.68
CXCL8,COAD,2.34
IL6,BRCA,7.348
IL6,LUAD,5.253
IL6,COAD,4.943
TGFB1,BRCA,7.176
TGFB1,LUAD,4.976
TGFB1,COAD,8.243
VEGFA,BRCA,5.295
VEGFA,LUAD,2.09
VEGFA,COAD,2.872
FGFR2,BRCA,1.407
FGFR2,LUAD,1.744
FGFR2,COAD,1.667
PDGFRA,BRCA,5.275
PDGFRA,LUAD,2.444
PDGFRA,COAD,2.776
KDR,BRCA,3.06
KDR,LUAD,2.8
KDR,COAD,8.242
MET,BRCA,1.498
MET,LUAD,2.515
MET,COAD,3.501
MS4A1,BRCA,0.626
MS4A1,LUAD,0.452
MS4A1,COAD,0.706
PROM1,BRCA,1.145
PROM1,LUAD,1.34
PROM1,COAD,1.184
ALDH1A1,BRCA,6.302
ALDH1A1,LUAD,6.781
ALDH1A1,COAD,5.857
SOX9,BRCA,2.85
SOX9,LUAD,3.971
SOX9,COAD,4.464
KIT,BRCA,20.483
KIT,LUAD,21.612
KIT,COAD,23.084
FLT3,BRCA,6.055
FLT3,LUAD,14.65
FLT3,COAD,10.636
CXCR4,BRCA,2.067
CXCR4,LUAD,1.928
CXCR4,COAD,1.815
CCR7,BRCA,1.272
CCR7,LUAD,0.998
CCR7,COAD,1.507
LAMP1,BRCA,5.79
LAMP1,LUAD,8.89
LAMP1,COAD,6.366
PTPRC,BRCA,1.291
PTPRC,LUAD,2.178
PTPRC,COAD,3.646
CDH1,BRCA,3.51
CDH1,LUAD,4.859
CDH1,COAD,2.088
VIM,BRCA,5.818
VIM,LUAD,3.595
VIM,COAD,1.923
SPP1,BRCA,10.685
SPP1,LUAD,3.795
SPP1,COAD,8.184
MKI67,BRCA,3.924
MKI67,LUAD,3.167
MKI67,COAD,3.528
TOP2A,BRCA,3.486
TOP2A,LUAD,5.32
TOP2A,COAD,5.997
BIRC5,BRCA,0.406
BIRC5,LUAD,0.616
BIRC5,COAD,0.334
PCNA,BRCA,6.094
PCNA,LUAD,3.159
PCNA,COAD,3.858
TYMS,BRCA,6.154
TYMS,LUAD,2.323
TYMS,COAD,6.401
RRM2,BRCA,9.336
RRM2,LUAD,6.278
RRM2,COAD,5.012
BCL2,BRCA,12.872
BCL2,LUAD,8.852
BCL2,COAD,10.442
STAT3,BRCA,16.584
STAT3,LUAD,21.005
STAT3,COAD,19.206
JUN,BRCA,4.616
JUN,LUAD,8.79
JUN,COAD,2.916
FOS,BRCA,2.232
FOS,LUAD,9.63
FOS,COAD,2.461
AKT1,BRCA,13.762
AKT1,LUAD,15.384
AKT1,COAD,15.001
PIK3CA,BRCA,11.687
PIK3CA,LUAD,12.347
PIK3CA,COAD,7.168
MAPK3,BRCA,2.73
MAPK3,LUAD,3.688
MAPK3,COAD,4.884
FOXA1,BRCA,6.125
FOXA1,LUAD,11.56
FOXA1,COAD,10.332
GATA3,BRCA,4.754
GATA3,LUAD,11.71
GATA3,COAD,10.036
XBP1,BRCA,18.569
XBP1,LUAD,28.662
XBP1,COAD,14.146
CEBPB,BRCA,13.015
CEBPB,LUAD,17.644
CEBPB,COAD,12.658
