# Synthetic gene dependency scores patterned after DepMap CRISPR screens (demo only).
gene,MCF7,BT474,HCC1954,A549,H1975,SW480,HCT116,HT29
EPCAM,-0.073,-0.031,-0.266,-0.08,-0.115,-0.153,-0.149,-0.218
MSLN,0.015,-0.082,-0.051,0.117,0.04,-0.17,0.23,-0.152
CD276,-0.215,-0.099,-0.187,-0.277,0.089,-0.062,-0.183,-0.198
ERBB2,-0.405,-0.345,-0.52,-0.348,-0.402,-0.243,-0.216,-0.286
EGFR,-0.354,-0.431,-0.41,-0.633,-0.475,-0.259,-0.411,-0.348
CEACAM5,-0.238,-0.247,-0.127,-0.3,-0.36,-0.33,-0.466,-0.469
GPC3,-0.123,0.114,-0.06,-0.084,-0.061,0.021,-0.069,-0.078
MUC16,-0.168,-0.308,-0.343,-0.27,-0.34,-0.231,-0.229,-0.186
CD274,-0.298,-0.358,-0.208,-0.463,-0.233,-0.292,-0.186,-0.161
ITGA6,-1.095,-0.83,-1.022,-0.847,-0.945,-1.033,-1.143,-1.004
ITGB1,-0.695,-0.784,-0.842,-0.785,-0.632,-0.578,-0.662,-0.698
CD44,-0.606,-0.547,-0.405,-0.388,-0.45,-0.426,-0.491,-0.596
CXCL8,-0.776,-0.749,-0.806,-0.709,-0.918,-0.733,-0.732,-0.708
IL6,-0.247,-0.096,0.05,-0.097,-0.026,-0.148,-0.082,-0.049
TGFB1,-0.508,-0.692,-0.839,-0.68,-0.761,-0.673,-0.711,-0.77
VEGFA,-0.636,-0.817,-0.771,-0.735,-0.891,-0.584,-0.734,-0.706
FGFR2,-0.839,-0.648,-0.655,-0.618,-0.675,-0.668,-0.875,-0.617
PDGFRA,-0.729,-0.698,-0.596,-0.734,-0.487,-0.643,-0.715,-0.753
KDR,-0.735,-0.759,-0.736,-0.766,-0.649,-0.859,-0.746,-0.845
MET,-0.346,-0.707,-0.476,-0.529,-0.487,-0.502,-0.541,-0.393
MS4A1,-0.644,-0.508,-0.512,-0.785,-0.597,-0.71,-0.708,-0.401
PROM1,-0.201,-0.41,-0.416,-0.313,-0.414,-0.455,-0.501,-0.318
ALDH1A1,-0.483,-0.475,-0.507,-0.496,-0.285,-0.418,-0.41,-0.378
SOX9,-0.368,-0.561,-0.56,-0.303,-0.417,-0.547,-0.327,-0.602
KIT,-0.746,-0.675,-0.494,-0.521,-0.503,-0.404,-0.598,-0.565
FLT3,-0.507,-0.693,-0.598,-0.681,-0.699,-0.751,-0.495,-0.538
CXCR4,-0.503,-0.615,-0.515,-0.609,-0.638,-0.565,-0.366,-0.22
CCR7,-0.698,-0.544,-0.49,-0.481,-0.506,-0.56,-0.543,-0.678
LAMP1,-0.948,-0.925,-0.52,-1.114,-1.011,-1.147,-0.966,-0.965
PTPRC,-0.632,-0.732,-0.791,-0.788,-0.825,-0.778,-0.712,-0.882
CDH1,-0.445,-0.498,-0.636,-0.566,-0.477,-0.65,-0.281,-0.498
VIM,-0.512,-0.426,-0.369,-0.332,-0.56,-0.516,-0.282,-0.525
SPP1,-0.708,-0.79,-0.714,-0.737,-0.766,-0.885,-0.807,-0.864
MKI67,-1.201,-1.208,-1.213,-1.171,-1.165,-1.277,-1.107,-1.129
TOP2A,-1.368,-1.278,-1.226,-1.551,-1.437,-1.203,-1.416,-1.667
BIRC5,-1.072,-1.098,-1.106,-0.998,-1.045,-1.068,-1.077,-0.87
PCNA,-1.105,-1.057,-0.811,-1.005,-1.035,-0.938,-1.028,-1.013
TYMS,-1.262,-1.282,-1.306,-1.258,-1.432,-1.02,-1.298,-1.32
RRM2,-1.231,-1.188,-1.001,-1.404,-1.039,-1.277,-1.2,-1.257
BCL2,-0.824,-0.763,-0.753,-0.856,-0.789,-0.907,-0.774,-0.789
STAT3,-1.265,-1.086,-1.063,-1.185,-1.122,-1.245,-1.216,-1.073
JUN,-1.108,-0.959,-1.083,-1.042,-0.994,-1.058,-1.021,-0.979
FOS,-0.857,-1.092,-1.149,-1.031,-0.854,-0.998,-1.108,-0.908
AKT1,-1.252,-1.319,-1.312,-1.219,-1.452,-1.366,-1.399,-1.599
PIK3CA,-1.248,-1.215,-1.276,-1.542,-1.341,-1.358,-1.196,-1.291
MAPK3,-0.835,-1.233,-1.218,-1.125,-1.083,-1.109,-1.156,-0.985
FOXA1,-0.156,-0.275,-0.479,-0.276,-0.457,-0.343,-0.343,-0.255
GATA3,-0.667,-0.479,-0.572,-0.474,-0.629,-0.458,-0.548,-0.63
XBP1,-0.669,-0.599,-0.554,-0.581,-0.661,-0.395,-0.689,-0.629
CEBPB,-0.64,-0.834,-0.882,-0.846,-0.774,-0.825,-0.657,-0.707
