# Synthetic protein-protein interaction degrees inspired by STRING/BioGRID (demo only).
gene,degree
EPCAM,48
MSLN,32
CD276,41
ERBB2,110
EGFR,120
CEACAM5,36
GPC3,22
MUC16,28
CD274,34
ITGA6,43
ITGB1,47
CD44,44
CXCL8,68
IL6,65
TGFB1,22
VEGFA,130
FGFR2,95
PDGFRA,105
KDR,104
MET,125
MS4A1,25
PROM1,30
ALDH1A1,84
SOX9,84
KIT,100
FLT3,64
CXCR4,45
CCR7,40
LAMP1,60
PTPRC,51
CDH1,64
VIM,66
SPP1,52
MKI67,58
TOP2A,57
BIRC5,42
PCNA,50
TYMS,56
RRM2,39
BCL2,140
STAT3,175
JUN,150
FOS,135
AKT1,210
PIK3CA,185
MAPK3,160
FOXA1,60
GATA3,51
XBP1,96
CEBPB,64
