gene	pLDDT	ptm	iptm	ranking_confidence	structure_exists
GENE0000	81	0.8	0.7	0.85	1
GENE0001	90	0.8	0.7	0.85	1
GENE0002	86	0.8	0.7	0.85	1
GENE0003	86	0.8	0.7	0.85	1
GENE0004	88	0.8	0.7	0.85	1
GENE0005	87	0.8	0.7	0.85	1
GENE0006	84	0.8	0.7	0.85	1
GENE0007	86	0.8	0.7	0.85	1
GENE0008	94	0.8	0.7	0.85	1
GENE0009	76	0.8	0.7	0.85	1
GENE0010	88	0.8	0.7	0.85	1
GENE0011	83	0.8	0.7	0.85	1
GENE0012	92	0.8	0.7	0.85	1
GENE0013	81	0.8	0.7	0.85	1
GENE0014	80	0.8	0.7	0.85	1
GENE0015	78	0.8	0.7	0.85	1
GENE0016	82	0.8	0.7	0.85	1
GENE0017	85	0.8	0.7	0.85	1
GENE0018	83	0.8	0.7	0.85	1
GENE0019	75	0.8	0.7	0.85	1
GENE0020	82	0.8	0.7	0.85	1
GENE0021	88	0.8	0.7	0.85	1
GENE0022	88	0.8	0.7	0.85	1
GENE0023	77	0.8	0.7	0.85	1
GENE0024	80	0.8	0.7	0.85	1
GENE0025	78	0.8	0.7	0.85	1
GENE0026	86	0.8	0.7	0.85	1
GENE0027	92	0.8	0.7	0.85	1
GENE0028	78	0.8	0.7	0.85	1
GENE0029	83	0.8	0.7	0.85	1
GENE0030	85	0.8	0.7	0.85	1
GENE0031	81	0.8	0.7	0.85	1
GENE0032	80	0.8	0.7	0.85	1
GENE0033	78	0.8	0.7	0.85	1
GENE0034	94	0.8	0.7	0.85	1
GENE0035	87	0.8	0.7	0.85	1
GENE0036	87	0.8	0.7	0.85	1
GENE0037	94	0.8	0.7	0.85	1
GENE0038	87	0.8	0.7	0.85	1
GENE0039	76	0.8	0.7	0.85	1
GENE0040	90	0.8	0.7	0.85	1
GENE0041	77	0.8	0.7	0.85	1
GENE0042	75	0.8	0.7	0.85	1
GENE0043	93	0.8	0.7	0.85	1
GENE0044	87	0.8	0.7	0.85	1
GENE0045	81	0.8	0.7	0.85	1
GENE0046	88	0.8	0.7	0.85	1
GENE0047	92	0.8	0.7	0.85	1
GENE0048	94	0.8	0.7	0.85	1
GENE0049	87	0.8	0.7	0.85	1
