gene	species	homolog	identity	coverage	evalue
GENE0000	HUMAN	HOMOLOG_0000	80	0.9	1e-50
GENE0001	MOUSE	HOMOLOG_0001	81	0.9	1e-50
GENE0002	RAT	HOMOLOG_0002	82	0.9	1e-50
GENE0003	ZEBRAFISH	HOMOLOG_0003	83	0.9	1e-50
GENE0004	HUMAN	HOMOLOG_0004	84	0.9	1e-50
GENE0005	MOUSE	HOMOLOG_0005	85	0.9	1e-50
GENE0006	RAT	HOMOLOG_0006	86	0.9	1e-50
GENE0007	ZEBRAFISH	HOMOLOG_0007	87	0.9	1e-50
GENE0008	HUMAN	HOMOLOG_0008	88	0.9	1e-50
GENE0009	MOUSE	HOMOLOG_0009	89	0.9	1e-50
GENE0010	RAT	HOMOLOG_0010	90	0.9	1e-50
GENE0011	ZEBRAFISH	HOMOLOG_0011	91	0.9	1e-50
GENE0012	HUMAN	HOMOLOG_0012	92	0.9	1e-50
GENE0013	MOUSE	HOMOLOG_0013	93	0.9	1e-50
GENE0014	RAT	HOMOLOG_0014	94	0.9	1e-50
GENE0015	ZEBRAFISH	HOMOLOG_0015	95	0.9	1e-50
GENE0016	HUMAN	HOMOLOG_0016	96	0.9	1e-50
GENE0017	MOUSE	HOMOLOG_0017	97	0.9	1e-50
GENE0018	RAT	HOMOLOG_0018	98	0.9	1e-50
GENE0019	ZEBRAFISH	HOMOLOG_0019	99	0.9	1e-50
GENE0020	HUMAN	HOMOLOG_0020	80	0.9	1e-50
GENE0021	MOUSE	HOMOLOG_0021	81	0.9	1e-50
GENE0022	RAT	HOMOLOG_0022	82	0.9	1e-50
GENE0023	ZEBRAFISH	HOMOLOG_0023	83	0.9	1e-50
GENE0024	HUMAN	HOMOLOG_0024	84	0.9	1e-50
GENE0025	MOUSE	HOMOLOG_0025	85	0.9	1e-50
GENE0026	RAT	HOMOLOG_0026	86	0.9	1e-50
GENE0027	ZEBRAFISH	HOMOLOG_0027	87	0.9	1e-50
GENE0028	HUMAN	HOMOLOG_0028	88	0.9	1e-50
GENE0029	MOUSE	HOMOLOG_0029	89	0.9	1e-50
GENE0030	RAT	HOMOLOG_0030	90	0.9	1e-50
GENE0031	ZEBRAFISH	HOMOLOG_0031	91	0.9	1e-50
GENE0032	HUMAN	HOMOLOG_0032	92	0.9	1e-50
GENE0033	MOUSE	HOMOLOG_0033	93	0.9	1e-50
GENE0034	RAT	HOMOLOG_0034	94	0.9	1e-50
GENE0035	ZEBRAFISH	HOMOLOG_0035	95	0.9	1e-50
GENE0036	HUMAN	HOMOLOG_0036	96	0.9	1e-50
GENE0037	MOUSE	HOMOLOG_0037	97	0.9	1e-50
GENE0038	RAT	HOMOLOG_0038	98	0.9	1e-50
GENE0039	ZEBRAFISH	HOMOLOG_0039	99	0.9	1e-50
GENE0040	HUMAN	HOMOLOG_0040	80	0.9	1e-50
GENE0041	MOUSE	HOMOLOG_0041	81	0.9	1e-50
GENE0042	RAT	HOMOLOG_0042	82	0.9	1e-50
GENE0043	ZEBRAFISH	HOMOLOG_0043	83	0.9	1e-50
GENE0044	HUMAN	HOMOLOG_0044	84	0.9	1e-50
GENE0045	MOUSE	HOMOLOG_0045	85	0.9	1e-50
GENE0046	RAT	HOMOLOG_0046	86	0.9	1e-50
GENE0047	ZEBRAFISH	HOMOLOG_0047	87	0.9	1e-50
GENE0048	HUMAN	HOMOLOG_0048	88	0.9	1e-50
GENE0049	MOUSE	HOMOLOG_0049	89	0.9	1e-50
