gene	molecular_weight	isoelectric_point	charge	hydrophobicity	polarity
GENE0000	75966	8.0	6	0.5	0.4
GENE0001	87055	9.0	5	0.6	0.6000000000000001
GENE0002	63571	9.0	1	0.6	0.5
GENE0003	61771	9.0	1	0.6	0.6000000000000001
GENE0004	74673	7.0	3	0.4	0.4
GENE0005	66512	6.0	2	0.3	0.4
GENE0006	93349	7.0	9	0.4	0.5
GENE0007	72871	9.0	1	0.6	0.6000000000000001
GENE0008	80619	9.0	9	0.6	0.4
GENE0009	89821	7.0	1	0.4	0.4
GENE0010	87853	7.0	3	0.4	0.5
GENE0011	59368	6.0	8	0.3	0.5
GENE0012	82777	7.0	7	0.4	0.6000000000000001
GENE0013	84306	8.0	6	0.5	0.5
GENE0014	94985	7.0	5	0.4	0.4
GENE0015	90443	9.0	3	0.6	0.4
GENE0016	64747	9.0	7	0.6	0.6000000000000001
GENE0017	67970	8.0	0	0.5	0.5
GENE0018	66248	6.0	8	0.3	0.5
GENE0019	64040	6.0	0	0.3	0.5
GENE0020	85367	9.0	7	0.6	0.4
GENE0021	72593	7.0	3	0.4	0.4
GENE0022	85853	7.0	3	0.4	0.5
GENE0023	96902	8.0	2	0.5	0.5
GENE0024	86205	7.0	5	0.4	0.6000000000000001
GENE0025	86983	9.0	3	0.6	0.5
GENE0026	54291	9.0	1	0.6	0.6000000000000001
GENE0027	64177	7.0	7	0.4	0.5
GENE0028	87663	9.0	3	0.6	0.4
GENE0029	78848	6.0	8	0.3	0.6000000000000001
GENE0030	67050	8.0	0	0.5	0.5
GENE0031	69886	8.0	6	0.5	0.5
GENE0032	66805	7.0	5	0.4	0.4
GENE0033	89663	9.0	3	0.6	0.6000000000000001
GENE0034	94419	9.0	9	0.6	0.4
GENE0035	94232	6.0	2	0.3	0.4
GENE0036	61012	6.0	2	0.3	0.5
GENE0037	65599	9.0	9	0.6	0.4
GENE0038	50012	6.0	2	0.3	0.4
GENE0039	90941	7.0	1	0.4	0.4
GENE0040	82695	9.0	5	0.6	0.6000000000000001
GENE0041	97602	8.0	2	0.5	0.4
GENE0042	61780	6.0	0	0.3	0.6000000000000001
GENE0043	60438	8.0	8	0.5	0.6000000000000001
GENE0044	87952	6.0	2	0.3	0.4
GENE0045	89746	8.0	6	0.5	0.4
GENE0046	57813	7.0	3	0.4	0.5
GENE0047	89297	7.0	7	0.4	0.5
GENE0048	56859	9.0	9	0.6	0.6000000000000001
GENE0049	89712	6.0	2	0.3	0.6000000000000001
